Download Time:2026/05/18 12:16:32,Search Date:2012/01/02 - 2024/01/01 Magnitude(min):4.5 
Origin Time,Latitude[degree],Longitude[degree],Depth[km],Magnitude,Max Acc[gal],Max Vel[cm/s],Seismic Intensity,Number of stations
2022/12/06 00:20:00,41.0490,142.3890,48,4.6,10.7,0.2,1.5,55
2022/11/30 12:46:00,37.2790,141.6580,42,5.1,17.4,0.6,2.4,140
2022/11/20 18:17:00,42.9140,144.7220,57,4.8,112.4,2.6,3.4,87
2022/11/17 09:28:00,40.7270,142.4240,64,5.0,62.2,1.6,3.3,172
2022/11/14 17:09:00,33.8370,137.4260,362,6.4,65.2,3.4,3.6,468
2022/11/09 17:40:00,36.1820,140.0300,51,4.9,296.8,6.5,4.3,269
2022/11/06 13:23:00,43.2440,146.8690,52,5.4,24.3,0.8,2.8,46
2022/11/03 20:16:00,35.6600,140.1980,71,4.5,13.3,0.6,2.0,115
2022/11/03 19:04:00,35.6570,140.1910,68,4.9,43.9,3.3,3.5,242
2022/10/29 05:56:00,37.3220,141.8000,50,4.5,59.6,2.1,3.2,83
2022/10/26 16:06:00,41.9870,144.8910,11,5.2,3.6,0.4,1.6,34
2022/10/26 07:49:00,30.1490,131.3740,38,4.5,3.2,0.2,1.0,5
2022/10/21 15:19:00,37.3950,141.3080,29,5.0,139.3,3.8,3.5,195
2022/10/19 14:54:00,39.6070,143.5410,12,5.3,4.4,0.3,1.5,52
2022/10/11 20:28:00,37.6270,141.5900,53,4.6,23.9,0.7,2.4,107
2022/10/11 04:24:00,23.9230,122.2430,24,5.9,2.5,0.2,1.2,2
2022/10/10 09:26:00,38.7690,142.2890,42,4.8,33.9,0.6,2.2,112
2022/10/10 09:03:00,42.1420,144.1020,42,4.8,55.8,1.8,3.2,64
2022/10/07 05:09:00,33.5870,139.3810,25,4.7,4.0,0.2,0.9,6
2022/10/07 03:14:00,37.1070,141.1530,26,4.5,75.2,2.2,3.0,102
2022/10/07 01:36:00,27.6680,126.9120,153,5.1,6.4,0.2,1.3,9
2022/10/06 04:04:00,38.7050,141.9790,57,4.5,111.5,1.5,2.9,125
2022/10/02 00:02:00,31.3080,131.5240,29,5.9,109.8,10.6,4.4,225
2022/09/27 01:05:00,40.5190,142.9240,25,5.0,25.3,1.2,2.6,109
2022/09/23 09:54:00,36.0720,140.2050,83,4.7,29.7,1.5,2.9,262
2022/09/22 07:24:00,35.2750,141.2200,13,5.3,7.4,1.4,2.5,77
2022/09/18 19:05:00,26.3310,125.9670,24,5.7,4.8,0.6,1.7,1
2022/09/18 17:09:00,26.3390,125.9220,8,6.0,4.4,0.5,1.8,2
2022/09/18 11:09:00,35.8620,140.6430,51,4.7,19.0,1.1,2.5,90
2022/09/13 09:52:00,41.5720,142.1070,54,5.1,29.0,1.1,2.7,160
2022/09/12 13:39:00,42.0490,144.8760,16,4.9,9.1,0.6,2.1,39
2022/09/09 18:55:00,36.8150,140.5900,7,4.5,244.3,5.8,3.8,125
2022/09/04 15:46:00,37.8370,141.7510,64,4.8,31.5,0.7,2.3,129
2022/09/01 20:21:00,31.2540,131.9220,25,4.6,5.0,0.3,1.6,21
2022/08/26 08:48:00,32.0370,129.9900,12,4.5,73.6,3.1,3.3,73
2022/08/18 14:46:00,37.5990,141.5880,56,5.2,90.6,4.0,3.5,263
2022/08/18 13:06:00,35.6000,141.0260,20,5.0,21.8,1.6,2.6,90
2022/08/14 06:57:00,35.5390,140.9900,32,4.5,6.4,0.4,1.5,10
2022/08/14 04:25:00,46.5810,144.8040,414,5.5,4.5,0.1,1.0,38
2022/08/12 21:11:00,35.5590,140.9200,36,4.6,10.1,0.5,1.7,42
2022/08/11 02:14:00,44.8650,142.1240,6,4.6,159.0,7.2,4.3,40
2022/08/11 00:53:00,44.8460,142.1160,5,5.4,416.6,22.7,5.1,75
2022/08/11 00:35:00,44.8510,142.1170,2,5.2,266.6,16.8,4.8,68
2022/08/07 22:41:00,43.7270,147.7370,0,6.0,48.8,1.7,3.1,222
2022/08/06 21:23:00,36.2470,141.1200,30,5.0,46.3,1.6,3.2,125
2022/08/04 09:48:00,37.6090,141.6210,57,5.6,124.9,8.1,4.2,312
2022/08/03 08:47:00,37.3120,141.1930,33,4.6,71.4,1.4,3.0,146
2022/07/25 23:44:00,26.8040,126.3840,27,4.6,2.1,0.1,0.7,1
2022/07/25 23:41:00,26.7890,126.3990,30,5.1,2.1,0.1,0.7,1
2022/07/22 12:02:00,40.5470,141.4210,86,5.3,68.7,3.2,3.4,200
2022/07/21 18:44:00,37.5040,141.5450,47,4.8,23.1,0.6,2.2,132
2022/07/21 08:50:00,37.5620,141.9460,41,4.6,18.6,0.6,2.3,90
2022/07/09 10:12:00,37.1520,141.3250,11,4.6,18.0,0.5,2.1,88
2022/07/08 09:00:00,26.8310,126.2620,17,5.1,4.5,0.2,1.1,1
2022/07/06 22:02:00,26.7830,126.3590,23,5.1,3.3,0.1,0.9,1
2022/07/06 13:02:00,41.4890,142.0190,58,4.6,10.5,0.2,1.5,50
2022/07/06 05:10:00,38.4090,141.9570,63,5.4,396.6,7.9,4.6,285
2022/07/05 17:52:00,42.3270,142.9960,53,4.9,30.4,1.1,2.7,110
2022/07/05 09:51:00,34.2690,139.8950,89,4.6,34.4,0.8,2.2,52
2022/07/02 11:00:00,45.8160,142.2310,324,5.9,17.7,1.2,2.6,263
2022/06/28 05:03:00,38.4640,142.1310,42,4.9,44.5,0.6,2.2,117
2022/06/26 21:44:00,32.5370,130.6870,9,4.7,194.4,9.3,4.7,158
2022/06/24 07:32:00,24.0530,122.4790,27,5.6,3.3,0.3,1.4,1
2022/06/21 23:53:00,26.7430,126.3240,33,4.8,3.6,0.2,1.0,1
2022/06/20 10:31:00,37.5190,137.3250,14,5.0,649.3,26.9,5.0,118
2022/06/19 19:07:00,26.8160,126.3540,25,5.2,3.3,0.2,1.2,1
2022/06/19 18:55:00,26.8040,126.3550,19,5.8,5.9,0.4,1.6,4
2022/06/19 15:08:00,37.5120,137.2780,13,5.4,605.9,54.3,5.5,149
2022/06/17 23:35:00,37.5800,141.5730,58,4.7,67.3,2.0,3.0,150
2022/06/17 00:51:00,33.9090,134.5910,45,4.9,131.2,3.0,3.5,261
2022/06/13 20:18:00,24.1380,123.7900,19,4.6,26.7,0.9,2.0,3
